Player,Category,Keyword,Tweet,Date
Mbappe,Match Performance,goal,"@Tezzathekchen Yamal has won a euros and scores 2 goals 

Mbappe has NEVER even scored a goal in euros from open play and the guy is 27😂",2025-03-04 15:44:37+00:00
Mbappe,Match Performance,goal,"@Solcasinoio Real Madrid 2 vs 0 Atletico Madrid

First Goal
Kylian Mbappé",2025-03-04 15:44:15+00:00
Mbappe,Match Performance,goal,"This post featuring Kylian Mbappe and Rodrygo Goes has got fans buzzing with excitement! Both players are young talents making waves in the football world with their skill, speed, and goal-scoring abilities. It's always thrilling to see emerging stars like Mbappe and Rodrygo… https://t.co/WVviCKN24B",2025-03-04 15:39:35+00:00
Mbappe,Match Performance,goal,"@rainbetcom Real madrid 4-2
Goal mbappe,Vinicius",2025-03-04 15:32:27+00:00
Mbappe,Match Performance,goal,@Rashmoni0 €200m Mbappe and Bellingham can’t score a free kick goal,2025-03-04 15:29:19+00:00
Mbappe,Match Performance,goal,"@Solcasinoio 3-1

Madrid win 🔥

Mbappe first goal 🐢",2025-03-04 15:26:40+00:00
Mbappe,Match Performance,goal,Atletico Madrid can't be trusted against Real Madrid ever. Today they have best chance to go forward and get goals cuz Bellingham and ceballos are missing. See them parking the bus and let mbappe and Modric score a goal. https://t.co/sqr2rmPojO,2025-03-04 15:14:07+00:00
Mbappe,Match Performance,goal,"Mbappe was getting on a good path, he was being consistent &amp; his goal scoring was starting to look like one of the best in the world or one of the best in history behind Cr7/Messi.

He was on his way to redeem himself with a CL &amp; La Liga. I hope he does.",2025-03-04 15:13:58+00:00
Mbappe,Match Performance,goal,"@lhordmacckino @eharbbeylyncon @OneFootball Mbappé in WC YPOTT, and Golden Boot, won one WC one goal behind Messi in World Cup goal scorer all time and he has 4 more to play top 7 in WC all time scorer and only played two so be quiet",2025-03-04 15:12:37+00:00
Mbappe,Match Performance,goal,"@losblancoszone 3-1 Win for Real madrid 
Goal by mbappe 1 and vini2",2025-03-04 15:11:45+00:00
Mbappe,Match Performance,goal,@gust44903 @Tezzathekchen Salah fucking ghosted 2 afcon finals for egypt HAHAHHAHA. And his one goal in a final is a penalty. The fraud has 0 non penalty goals in 20 finals meanwhile mbappe scored a npg in a world cup final at 19,2025-03-04 14:59:58+00:00
Mbappe,Match Performance,goal,@PaceyFede Mbappe goal,2025-03-04 14:45:15+00:00
Mbappe,Match Performance,goal,I love how this can also be a subtle Blue Lock version of Mbappe's goal celebration. https://t.co/6rs9OhFL5k,2025-03-04 14:44:51+00:00
Mbappe,Match Performance,goal,"Goal odds for today's #UCL matches. Guirassy leads the way at +115 with Mbappe just behind at +120. Trossard also on this list at +240 but not even #Arsenal fans would take that.

Predicted lineups, full odds and stats found in our cheat sheets
➡️ https://t.co/7y6PT4EzJ7 https://t.co/aAzQw3eFFY",2025-03-04 14:41:29+00:00
Mbappe,Match Performance,goal,Day 63 of tweeting until Mbappe score a non penalty goal in euro https://t.co/CGFjLV2xnG https://t.co/7hcZUXDGu3,2025-03-04 14:37:01+00:00
Mbappe,Match Performance,goal,"@victoribah Mbappe is our leading goal scorer thanks to our players.

He was our target man, Vini getting the ball less is obviously instructions to get Mbappe used to the team &amp; Carlo trying to make the team around him.

No Vini, Rodrygo or Jude still got so many passes after so many misses",2025-03-04 14:36:09+00:00
Mbappe,Match Performance,goal,3 goals mbappe 1 goal Vini and 1 goal Rodrygo  let it happen 🙏 https://t.co/iGorVv2gnE https://t.co/osZoAQdDto,2025-03-04 14:33:17+00:00
Mbappe,Match Performance,goal,"@Solcasinoio Athletico Madrid wins 2-1

Mbappe scores first goal",2025-03-04 14:30:45+00:00
Mbappe,Match Performance,goal,"@ThePuntersPlayB Psv 2 - 1 Arsenal (Gabriel goal)
Real Madrid 2 - 1 Atletico Madrid (Mbappe goal)",2025-03-04 14:29:23+00:00
Mbappe,Match Performance,goal,@SmokyCHE Mbappe goal,2025-03-04 14:20:50+00:00
Mbappe,Match Performance,goal,"@Solcasinoio 3-1 (Real Madrid win)
First Goal by Mbappe",2025-03-04 14:08:30+00:00
Mbappe,Match Performance,goal,"@jabezel Bro. There’s a reason I engage your tweet, it’s cause I consider you as one of those we mutual agree on things. Mbappe was bad at the beginning but he’s picked up and he’s our leading goal scorer. Pls don’t join these guys to be shading one player for another.",2025-03-04 14:07:59+00:00
Mbappe,Match Performance,goal,"This is the happiest I've seen Mbappe celebrating a goal. Bro was so happy to receive that great pass from thee goat, Messi 🐐 https://t.co/baO8tz1Q75",2025-03-04 14:07:08+00:00
Mbappe,Match Performance,goal,"@Solcasinoio Scoreline- 2-1 (Real Madrid win)
First Goal by Mbappe",2025-03-04 14:06:05+00:00
Mbappe,Match Performance,goal,"@Solcasinoio draw 1-1 
mbappe first goal",2025-03-04 14:03:53+00:00
Mbappe,Match Performance,goal,@Cosmobet_Casino 1st goal : Kylian mbappe,2025-03-04 13:53:13+00:00
